anio,sexo,cantidad_personas,grupo_edad,lugar_residencia
2016,v,299,90 y más,Ciudad de Buenos Aires
2016,v,4,Ignorado,Ciudad de Buenos Aires
2016,v,385,0 - 9,Otros fuera de CABA
2016,v,1731,10 - 19,Otros fuera de CABA
2016,v,5296,20 - 29,Otros fuera de CABA
2016,v,5800,30 - 39,Otros fuera de CABA
2016,v,6855,40 - 49,Otros fuera de CABA
2016,v,7211,50 - 59,Otros fuera de CABA
2016,v,6229,60 - 69,Otros fuera de CABA
2016,v,2729,70 - 79,Otros fuera de CABA
2016,v,622,80 - 89,Otros fuera de CABA
2016,v,38,90 y más,Otros fuera de CABA
2016,v,0,Ignorado,Otros fuera de CABA
2016,v,12,0 - 9,Ignorado
2016,v,185,10 - 19,Ignorado
2016,v,375,20 - 29,Ignorado
2016,v,487,30 - 39,Ignorado
2016,v,749,40 - 49,Ignorado
2016,v,732,50 - 59,Ignorado
2016,v,846,60 - 69,Ignorado
2016,v,624,70 - 79,Ignorado
2016,v,274,80 - 89,Ignorado
2016,v,29,90 y más,Ignorado
2016,v,0,Ignorado,Ignorado
